GeneSymbol,DiseaseName,UniProtID
AKT1,Adenocarcinoma,P31749
AKT1,Adenomatous Polyposis Coli,P31749
AKT1,Amphetamine-Related Disorders,P31749
AKT1,"Aortic Valve, Calcification of",P31749
AKT1,Breast Neoplasms,P31749
AKT1,Carcinogenesis,P31749
AKT1,"Carcinoma, Hepatocellular",P31749
AKT1,"Carcinoma, Squamous Cell",P31749
AKT1,Cardiomegaly,P31749
AKT1,Cardiomyopathies,P31749
AKT1,Colorectal Neoplasms,P31749
AKT1,COWDEN SYNDROME 6,P31749
AKT1,"Diabetes Mellitus, Type 2",P31749
AKT1,"Disease Models, Animal",P31749
AKT1,Epilepsy,P31749
AKT1,Fatty Liver,P31749
AKT1,Fibrosis,P31749
AKT1,Hepatomegaly,P31749
AKT1,Hyperplasia,P31749
AKT1,Hypertriglyceridemia,P31749
AKT1,Inflammation,P31749
AKT1,"Leukemia, Promyelocytic, Acute",P31749
AKT1,Lung Neoplasms,P31749
AKT1,"Lymphoma, T-Cell",P31749
AKT1,Marijuana Abuse,P31749
AKT1,Meningioma,P31749
AKT1,Muscular Atrophy,P31749
AKT1,Obesity,P31749
AKT1,Ovarian Neoplasms,P31749
AKT1,Pain,P31749
AKT1,Precancerous Conditions,P31749
AKT1,Prostatic Neoplasms,P31749
AKT1,Proteus Syndrome,P31749
AKT1,"Psychoses, Substance-Induced",P31749
AKT1,Schizophrenia,P31749
AKT1,Skin Neoplasms,P31749
AKT1,Squamous Cell Carcinoma of Head and Neck,P31749
AKT1,Urinary Bladder Neoplasms,P31749
AKT1,"Ventricular Dysfunction, Left",P31749
AKT1,Ventricular Remodeling,P31749
AKT2,Adenocarcinoma,P31751
AKT2,Breast Neoplasms,P31751
AKT2,"Diabetes Mellitus, Type 2",P31751
AKT2,HYPOINSULINEMIC HYPOGLYCEMIA WITH HEMIHYPERTROPHY,P31751
AKT2,"Lipodystrophy, Familial Partial",P31751
AKT2,Nasopharyngeal Carcinoma,P31751
AKT2,Prostatic Neoplasms,P31751
BRCA1,Breast Neoplasms,P38398
BRCA1,"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 1",P38398
BRCA1,Carcinoma,P38398
BRCA1,"Carcinoma, Adenoid Cystic",P38398
BRCA1,"Cell Transformation, Neoplastic",P38398
BRCA1,Chromosome Breakage,P38398
BRCA1,Hereditary Breast and Ovarian Cancer Syndrome,P38398
BRCA1,"Mammary Neoplasms, Animal",P38398
BRCA1,"Mammary Neoplasms, Experimental",P38398
BRCA1,Mouth Diseases,P38398
BRCA1,Neoplasms,P38398
BRCA1,Ovarian Neoplasms,P38398
BRCA1,Pancreatic Neoplasms,P38398
BRCA1,Prostatic Neoplasms,P38398
BRCA2,Breast Neoplasms,P51587
BRCA2,"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 2",P51587
BRCA2,"Fanconi Anemia, Complementation Group D1",P51587
BRCA2,Glioma,P51587
BRCA2,Hereditary Breast and Ovarian Cancer Syndrome,P51587
BRCA2,Lung Neoplasms,P51587
BRCA2,Medulloblastoma,P51587
BRCA2,"Neoplasms, Squamous Cell",P51587
BRCA2,Ovarian Neoplasms,P51587
BRCA2,Pancreatic Neoplasms,P51587
BRCA2,Prostatic Neoplasms,P51587
BRCA2,Wilms Tumor,P51587
CASP3,Acute Lung Injury,P42574
CASP3,Alzheimer Disease,P42574
CASP3,Brain Ischemia,P42574
CASP3,Calcinosis,P42574
CASP3,Cerebral Hemorrhage,P42574
CASP3,"Colitis, Ulcerative",P42574
CASP3,Copper-Overload Cirrhosis,P42574
CASP3,Cryptorchidism,P42574
CASP3,"Diabetes Mellitus, Experimental",P42574
CASP3,"Diabetes Mellitus, Type 2",P42574
CASP3,Diabetic Angiopathies,P42574
CASP3,Diabetic Neuropathies,P42574
CASP3,Diabetic Retinopathy,P42574
CASP3,Edema,P42574
CASP3,Heart Valve Diseases,P42574
CASP3,"Hepatitis, Chronic",P42574
CASP3,Mycoplasma Infections,P42574
CASP3,Myocardial Infarction,P42574
CASP3,Myocardial Reperfusion Injury,P42574
CASP3,Nerve Degeneration,P42574
CASP3,Nervous System Diseases,P42574
CASP3,Neurotoxicity Syndromes,P42574
CASP3,Reperfusion Injury,P42574
CASP3,Retinal Detachment,P42574
CASP3,Sepsis,P42574
CASP3,Spinal Cord Injuries,P42574
CASP3,Status Epilepticus,P42574
CASP3,Subarachnoid Hemorrhage,P42574
CASP8,Adenocarcinoma,Q14790
CASP8,Autoimmune Lymphoproliferative Syndrome,Q14790
CASP8,Breast Neoplasms,Q14790
CASP8,"Carcinoma, Hepatocellular",Q14790
CASP8,"Carcinoma, Non-Small-Cell Lung",Q14790
CASP8,Cerebral Hemorrhage,Q14790
CASP8,Colorectal Neoplasms,Q14790
CASP8,"Dermatitis, Allergic Contact",Q14790
CASP8,"Dermatitis, Contact",Q14790
CASP8,"Diabetes Mellitus, Type 2",Q14790
CASP8,Edema,Q14790
CASP8,Esophageal Neoplasms,Q14790
CASP8,Lung Neoplasms,Q14790
CASP8,Melanoma,Q14790
CASP8,Mitochondrial Diseases,Q14790
CASP8,Myocardial Reperfusion Injury,Q14790
CASP8,Papillomavirus Infections,Q14790
CASP8,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Q14790
CASP8,"Prostate cancer, familial",Q14790
CASP8,Reperfusion Injury,Q14790
CASP8,Skin Neoplasms,Q14790
CASP8,Squamous Cell Carcinoma of Head and Neck,Q14790
CASP8,Status Epilepticus,Q14790
CASP8,Stomach Neoplasms,Q14790
CASP8,Uterine Cervical Neoplasms,Q14790
EGFR,Acute Kidney Injury,P00533
EGFR,Adenocarcinoma,P00533
EGFR,Adenocarcinoma of Lung,P00533
EGFR,Adenomatous Polyposis Coli,P00533
EGFR,Adrenocortical Carcinoma,P00533
EGFR,"Arthritis, Experimental",P00533
EGFR,Bile Duct Neoplasms,P00533
EGFR,Breast Neoplasms,P00533
EGFR,Carcinoma,P00533
EGFR,"Carcinoma, Hepatocellular",P00533
EGFR,"Carcinoma, Non-Small-Cell Lung",P00533
EGFR,"Carcinoma, Squamous Cell",P00533
EGFR,"Cardiomyopathy, Dilated",P00533
EGFR,Chloracne,P00533
EGFR,Cholangiocarcinoma,P00533
EGFR,Colonic Neoplasms,P00533
EGFR,Colorectal Neoplasms,P00533
EGFR,Craniofacial Abnormalities,P00533
EGFR,Dermatitis,P00533
EGFR,"Diabetes Mellitus, Type 2",P00533
EGFR,Disease Progression,P00533
EGFR,Endometriosis,P00533
EGFR,Esophageal Neoplasms,P00533
EGFR,Esophageal Squamous Cell Carcinoma,P00533
EGFR,Gallbladder Neoplasms,P00533
EGFR,Glioblastoma,P00533
EGFR,Head and Neck Neoplasms,P00533
EGFR,Insulin Resistance,P00533
EGFR,Leiomyoma,P00533
EGFR,Lung Neoplasms,P00533
EGFR,"Mammary Neoplasms, Animal",P00533
EGFR,"Mammary Neoplasms, Experimental",P00533
EGFR,Mesothelioma,P00533
EGFR,"Mesothelioma, Malignant",P00533
EGFR,Nasopharyngeal Neoplasms,P00533
EGFR,NEONATAL NEPHROCUTANEOUS INFLAMMATORY SYNDROME,P00533
EGFR,Neoplasm Invasiveness,P00533
EGFR,Neoplasm Metastasis,P00533
EGFR,"Neoplasm Recurrence, Local",P00533
EGFR,Osteosarcoma,P00533
EGFR,Ovarian Neoplasms,P00533
EGFR,Pancreatic Neoplasms,P00533
EGFR,Papilloma,P00533
EGFR,"Polycystic Kidney, Autosomal Recessive",P00533
EGFR,Prostatic Neoplasms,P00533
EGFR,Rectal Neoplasms,P00533
EGFR,Small Cell Lung Carcinoma,P00533
EGFR,Stomach Neoplasms,P00533
EGFR,Urinary Bladder Neoplasms,P00533
EGFR,Uterine Cervical Neoplasms,P00533
HIF1A,Anaplasia,Q16665
HIF1A,Astrocytoma,Q16665
HIF1A,Brain Ischemia,Q16665
HIF1A,Breast Neoplasms,Q16665
HIF1A,Carcinoma,Q16665
HIF1A,"Carcinoma, Ductal",Q16665
HIF1A,"Carcinoma, Intraductal, Noninfiltrating",Q16665
HIF1A,"Carcinoma, Non-Small-Cell Lung",Q16665
HIF1A,Cardiomegaly,Q16665
HIF1A,"Cell Transformation, Neoplastic",Q16665
HIF1A,"Cholangitis, Sclerosing",Q16665
HIF1A,Diabetes Complications,Q16665
HIF1A,Disease Progression,Q16665
HIF1A,Esophageal Squamous Cell Carcinoma,Q16665
HIF1A,Glioblastoma,Q16665
HIF1A,"Heart Defects, Congenital",Q16665
HIF1A,Heart Failure,Q16665
HIF1A,Hemangioblastoma,Q16665
HIF1A,Hyperplasia,Q16665
HIF1A,Hypertension,Q16665
HIF1A,"Hypertension, Pulmonary",Q16665
HIF1A,"Hypoxia-Ischemia, Brain",Q16665
HIF1A,Idiopathic Pulmonary Fibrosis,Q16665
HIF1A,Liver Cirrhosis,Q16665
HIF1A,"Liver Cirrhosis, Biliary",Q16665
HIF1A,Lung Diseases,Q16665
HIF1A,"Micronuclei, Chromosome-Defective",Q16665
HIF1A,Myocardial Reperfusion Injury,Q16665
HIF1A,Neoplasm Invasiveness,Q16665
HIF1A,"Neoplasms, Experimental",Q16665
HIF1A,Pancreatic Neoplasms,Q16665
HIF1A,Prostatic Neoplasms,Q16665
HIF1A,"Pulmonary Disease, Chronic Obstructive",Q16665
HIF1A,"Radiation Injuries, Experimental",Q16665
HIF1A,Skin Neoplasms,Q16665
HIF1A,Spinal Cord Injuries,Q16665
HIF1A,Thyroid Neoplasms,Q16665
HIF1A,Urinary Bladder Neoplasms,Q16665
HIF1A,Venous Thrombosis,Q16665
IGF1,"Abortion, Spontaneous",P05019
IGF1,Acromegaly,P05019
IGF1,Acute Kidney Injury,P05019
IGF1,Adenoma,P05019
IGF1,Alzheimer Disease,P05019
IGF1,Autistic Disorder,P05019
IGF1,"Bone Diseases, Metabolic",P05019
IGF1,Breast Neoplasms,P05019
IGF1,Cachexia,P05019
IGF1,"Carcinoma, Hepatocellular",P05019
IGF1,Cardiomegaly,P05019
IGF1,Chemical and Drug Induced Liver Injury,P05019
IGF1,Cholestasis,P05019
IGF1,Colitis,P05019
IGF1,Corneal Diseases,P05019
IGF1,Crohn Disease,P05019
IGF1,Demyelinating Diseases,P05019
IGF1,Desbuquois syndrome,P05019
IGF1,"Diabetes Mellitus, Experimental",P05019
IGF1,"Diabetes Mellitus, Type 1",P05019
IGF1,Diabetic Cardiomyopathies,P05019
IGF1,Drug-Related Side Effects and Adverse Reactions,P05019
IGF1,Endometriosis,P05019
IGF1,Female Urogenital Diseases,P05019
IGF1,"Hernia, Diaphragmatic",P05019
IGF1,Hyperalgesia,P05019
IGF1,Hypertension,P05019
IGF1,"Infarction, Middle Cerebral Artery",P05019
IGF1,Insulin-Like Growth Factor I Deficiency,P05019
IGF1,Kidney Diseases,P05019
IGF1,"Kidney Failure, Chronic",P05019
IGF1,Learning Disabilities,P05019
IGF1,Liver Cirrhosis,P05019
IGF1,"Liver Cirrhosis, Experimental",P05019
IGF1,"Mammary Neoplasms, Experimental",P05019
IGF1,Memory Disorders,P05019
IGF1,Movement Disorders,P05019
IGF1,Muscular Atrophy,P05019
IGF1,Myocardial Ischemia,P05019
IGF1,Neoplasm Invasiveness,P05019
IGF1,Neoplasm Metastasis,P05019
IGF1,Nerve Degeneration,P05019
IGF1,Neurodevelopmental Disorders,P05019
IGF1,Peripheral Nervous System Diseases,P05019
IGF1,Pituitary Neoplasms,P05019
IGF1,Prostatic Neoplasms,P05019
IGF1,"Puberty, Precocious",P05019
IGF1,Pulmonary Fibrosis,P05019
IGF1,Skin Neoplasms,P05019
IGF1,Squamous Cell Carcinoma of Head and Neck,P05019
IGF1,Urinary Bladder Neoplasms,P05019
INS,Acute Kidney Injury,P01308
INS,Albuminuria,P01308
INS,Alzheimer Disease,P01308
INS,Bipolar Disorder,P01308
INS,"Cardiomyopathy, Hypertrophic",P01308
INS,Diabetes Mellitus,P01308
INS,"Diabetes Mellitus, Insulin-Dependent, 2",P01308
INS,"Diabetes Mellitus, Type 1",P01308
INS,"Diabetes Mellitus, Type 2",P01308
INS,Diabetic Cardiomyopathies,P01308
INS,Diabetic Ketoacidosis,P01308
INS,Diabetic Nephropathies,P01308
INS,Edema,P01308
INS,Fatty Liver,P01308
INS,Glucose Intolerance,P01308
INS,Heart Arrest,P01308
INS,Heart Failure,P01308
INS,Hepatitis,P01308
INS,Hyperglycemia,P01308
INS,Hyperinsulinism,P01308
INS,Hyperkalemia,P01308
INS,Hyperproinsulinemia,P01308
INS,Hypertension,P01308
INS,Hypertriglyceridemia,P01308
INS,Hypoglycemia,P01308
INS,Hypokalemia,P01308
INS,Hypotension,P01308
INS,Insulin Resistance,P01308
INS,"Kidney Diseases, Cystic",P01308
INS,Lewy Body Disease,P01308
INS,"Liver Cirrhosis, Experimental",P01308
INS,Liver Diseases,P01308
INS,"Liver Failure, Acute",P01308
INS,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10",P01308
INS,Memory Disorders,P01308
INS,Metabolic Diseases,P01308
INS,Metabolic Syndrome,P01308
INS,"Micronuclei, Chromosome-Defective",P01308
INS,MPTP Poisoning,P01308
INS,Muscular Diseases,P01308
INS,Neoplasm Invasiveness,P01308
INS,Neural Tube Defects,P01308
INS,Neurocognitive Disorders,P01308
INS,Non-alcoholic Fatty Liver Disease,P01308
INS,Obesity,P01308
INS,Pancreatitis,P01308
INS,Panic Disorder,P01308
INS,Paralysis,P01308
INS,Paresthesia,P01308
INS,Parkinson Disease,P01308
INS,Polycystic Ovary Syndrome,P01308
INS,Prostatic Neoplasms,P01308
INS,Renal Insufficiency,P01308
INS,Rhabdomyolysis,P01308
INS,Seizures,P01308
INS,Tachycardia,P01308
INS,Telomeric 22q13 Monosomy Syndrome,P01308
INS,Urinary Bladder Diseases,P01308
INS,"Ventricular Dysfunction, Left",P01308
INS,Ventricular Fibrillation,P01308
INS,Ventricular Outflow Obstruction,P01308
INS,Weight Loss,P01308
MAPK1,"Arthritis, Juvenile",P28482
MAPK1,Brain Ischemia,P28482
MAPK1,"Carcinoma, Squamous Cell",P28482
MAPK1,Cardiomyopathies,P28482
MAPK1,"Ceroid Lipofuscinosis, Neuronal, 6",P28482
MAPK1,"Cholestasis, Extrahepatic",P28482
MAPK1,Cocaine-Related Disorders,P28482
MAPK1,Coronavirus Infections,P28482
MAPK1,Desbuquois syndrome,P28482
MAPK1,"Disease Models, Animal",P28482
MAPK1,Gliosis,P28482
MAPK1,Head and Neck Neoplasms,P28482
MAPK1,Hodgkin Disease,P28482
MAPK1,Hyperalgesia,P28482
MAPK1,Hypertrophy,P28482
MAPK1,"Infertility, Female",P28482
MAPK1,Kidney Neoplasms,P28482
MAPK1,"Liver Neoplasms, Experimental",P28482
MAPK1,Lung Neoplasms,P28482
MAPK1,Neoplasm Invasiveness,P28482
MAPK1,Neoplasm Metastasis,P28482
MAPK1,Nerve Degeneration,P28482
MAPK1,Ovarian Neoplasms,P28482
MAPK1,"Pneumonia, Pneumococcal",P28482
MAPK1,"Radiation Injuries, Experimental",P28482
MAPK1,Sepsis,P28482
MAPK1,Severe Acute Respiratory Syndrome,P28482
MAPK1,Sezary Syndrome,P28482
MAPK1,Stomach Neoplasms,P28482
MAPK1,Substance Withdrawal Syndrome,P28482
MAPK1,Thyroid Neoplasms,P28482
MAPK1,Trigeminal Neuralgia,P28482
MAPK14,Cardiomyopathies,Q16539
MAPK14,Cholestasis,Q16539
MAPK14,"Cholestasis, Extrahepatic",Q16539
MAPK14,Hepatic Insufficiency,Q16539
MAPK14,Hepatomegaly,Q16539
MAPK14,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Q16539
MAPK14,"Liver Cirrhosis, Biliary",Q16539
MAPK14,Liver Neoplasms,Q16539
MAPK14,Lung Neoplasms,Q16539
MAPK14,Myocardial Ischemia,Q16539
MAPK14,Pulmonary Edema,Q16539
MAPK3,Atrophy,P27361
MAPK3,Autistic Disorder,P27361
MAPK3,Brain Ischemia,P27361
MAPK3,"Carcinoma, Squamous Cell",P27361
MAPK3,Cardiomyopathies,P27361
MAPK3,"Ceroid Lipofuscinosis, Neuronal, 6",P27361
MAPK3,"Cholestasis, Extrahepatic",P27361
MAPK3,Cocaine-Related Disorders,P27361
MAPK3,Coronavirus Infections,P27361
MAPK3,Developmental Disabilities,P27361
MAPK3,"Disease Models, Animal",P27361
MAPK3,Gliosis,P27361
MAPK3,Head and Neck Neoplasms,P27361
MAPK3,Hyperalgesia,P27361
